Incident ID,Incident Date,State,City Or County,Address,Victims Killed,Victims Injured,Suspects Killed,Suspects Injured,Suspects Arrested,Operations,ObjectId,x,y
1489364,2019-08-27T04:00:00Z,Ohio,Toledo,1000 block of Artis Pl,0,1,0,0,0,N/A,1231,-83.5208099897435,41.6301998960618
1488295,2019-08-26T04:00:00Z,Ohio,Toledo,Upton Ave and W Sylvania Ave,0,3,0,0,0,N/A,1232,-83.5895260254124,41.6922869956997
1488715,2019-08-26T04:00:00Z,Ohio,Toledo,100 block of Austin St,1,0,0,0,0,N/A,1233,-83.5413630652534,41.6731944980021
1486319,2019-08-23T04:00:00Z,Ohio,Toledo,2200 block of Upton Ave,0,1,0,0,0,N/A,1234,-83.5886501689087,41.6647471898871
1482513,2019-08-16T04:00:00Z,Ohio,Toledo,200 block of Field Ave,1,0,0,0,0,N/A,1235,-83.5544460185585,41.6352143630592
1479465,2019-08-14T04:00:00Z,Ohio,Toledo,900 block of Islington St,0,1,0,0,0,N/A,1236,-83.5667832012946,41.6727775343724
1479467,2019-08-14T04:00:00Z,Ohio,Toledo,600 block of W Central Ave,0,1,0,0,0,N/A,1237,-83.5590037783577,41.6782799273866
1477450,2019-08-12T04:00:00Z,Ohio,Toledo,1100 block of Nevada Ave,1,0,0,0,1,N/A,1238,-83.5131992129248,41.6399215350237
1476458,2019-08-11T04:00:00Z,Ohio,Toledo,9 N Huron St,0,1,0,0,0,N/A,1239,-83.5401688529995,41.6485953196246
1476895,2019-08-11T04:00:00Z,Ohio,Toledo,5300 block of Dorr St,0,1,0,0,0,N/A,1240,-83.668338307408,41.6534465993177
1474285,2019-08-08T04:00:00Z,Ohio,Toledo,700 block of Orchard St,0,1,0,0,0,N/A,1241,-83.5574523231833,41.6277986044432
1471659,2019-08-05T04:00:00Z,Ohio,Toledo,700 block of Maywood Ave,0,1,0,0,0,N/A,1242,-83.5276708879973,41.6759016965323
1464293,2019-07-31T04:00:00Z,Ohio,Toledo,400 block of Raymer Blvd,0,2,0,0,0,N/A,1243,-83.5098567317712,41.6425718154158
1463080,2019-07-29T04:00:00Z,Ohio,Toledo,400 block of Cincinnati St,0,1,0,0,0,N/A,1244,-83.5057986957815,41.6734482963688
1463072,2019-07-29T04:00:00Z,Ohio,Toledo,200 block of E Bancroft St,0,1,0,0,0,N/A,1245,-83.5420690754897,41.6641775987443
1461828,2019-07-27T04:00:00Z,Ohio,Toledo,N/A,0,1,0,0,0,N/A,1246,-83.5357170000808,41.6552979996861
1461090,2019-07-27T04:00:00Z,Ohio,Toledo,2100 block of Chadbury Ln,0,1,0,0,0,N/A,1247,-83.6781339558809,41.6000083750398
1459814,2019-07-26T04:00:00Z,Ohio,Toledo,1200 block of E Alexis Rd,0,1,0,0,0,N/A,1248,-83.5148757450277,41.7228769537998
1457994,2019-07-25T04:00:00Z,Ohio,Toledo,1100 block of Prospect Ave,0,1,0,0,0,N/A,1249,-83.5715614480886,41.658720883883
